Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Marc Gasol,gasolma01,NBA,2010-11,Europe,Spain,Barcelona,18,,,,22.0
Dikembe Mutombo,mutomdi01,NBA,1998-99,Africa,DR Congo,Kinshasa,18,,,,57.0
Andrei Kirilenko,kirilan01,NBA,2005-06,Europe,Russia,Izhevsk,18,,,,70.0
Rudy Gobert,goberru01,NBA,2022-23,Europe,France,Saint-Quentin,18,,,,22.0
Al Horford,horfoal01,NBA,2017-18,North America,Dominican Republic,Puerto Plata,68,,,,17.0
Zydrunas Ilgauskas,ilgauzy01,NBA,2003-04,Europe,Lithuania,Kaunas,18,,,,68.0
Jonas Valančiūnas,valanjo01,NBA,2020-21,Europe,Lithuania,Utena,18,,,,68.0
Jusuf Nurkić,nurkiju01,NBA,2018-19,Europe,Bosnia and Herzegovina,Tuzla,18,,,,68.0
Rik Smits,smitsri01,NBA,1993-94,Europe,Netherlands,Eindhoven,18,,,,22.0
Pascal Siakam,siakapa01,NBA,2022-23,Africa,Cameroon,Douala,68,,,,11.0
Tony Parker,parketo01,NBA,2002-03,Europe,Belgium,Bruges,18,,,,22.0
Dražen Petrović,petrodr01,NBA,1991-92,Europe,Croatia,Sibenik,18,,,,68.0
Luka Dončić,doncilu01,NBA,2020-21,Europe,Slovenia,Ljubljana,68,,,,68.0
Kristaps Porziņģis,porzikr01,NBA,2022-23,Europe,Latvia,Liepaja,18,,,,68.0
Tim Duncan,duncati01,NBA,2010-11,North America,United States Virgin Islands,St. Croix,68,,,,3.0
Kiki Vandeweghe,vandeki01,NBA,1981-82,Europe,Germany,Wiesbaden,18,,,,37.0
Marc Gasol,gasolma01,NBA,2016-17,Europe,Spain,Barcelona,68,,,,22.0
Luka Dončić,doncilu01,NBA,2021-22,Europe,Slovenia,Ljubljana,68,,,,68.0
Hedo Türkoğlu,turkohe01,NBA,2005-06,Asia,Türkiye,Istanbul,18,,,,70.0
Jamaal Magloire,magloja01,NBA,2003-04,North America,Canada,Toronto,68,,,,0.0
Carlos Boozer,boozeca01,NBA,2011-12,Europe,Germany,Aschaffenburg,18,,,,37.0
Dikembe Mutombo,mutomdi01,NBA,1995-96,Africa,DR Congo,Kinshasa,68,,,,57.0
Dominique Wilkins,wilkido01,NBA,1984-85,Europe,France,Paris,18,,,,22.0
Marcin Gortat,gortama01,NBA,2011-12,Europe,Poland,Lodz,18,,,,68.0
Pau Gasol,gasolpa01,NBA,2001-02,Europe,Spain,Barcelona,18,,,,22.0
Serge Ibaka,ibakase01,NBA,2010-11,Africa,Congo Republic,Brazzaville,18,,,,27.0
Joe Ingles,inglejo01,NBA,2017-18,Oceania,Australia,Adelaide,18,,,,16.0
Dirk Nowitzki,nowitdi01,NBA,2011-12,Europe,Germany,Wurzburg,68,,,,37.0
Jonas Valančiūnas,valanjo01,NBA,2017-18,Europe,Lithuania,Utena,18,,,,68.0
Al Horford,horfoal01,NBA,2021-22,North America,Dominican Republic,Puerto Plata,18,,,,17.0
Enes Freedom,kanteen01,NBA,2017-18,Europe,Switzerland,Zurich,18,,,,37.0
Goran Dragić,dragigo01,NBA,2016-17,Europe,Slovenia,Ljubljana,18,,,,68.0
Arvydas Sabonis,sabonar01,NBA,1996-97,Europe,Lithuania,Kaunas,18,,,,68.0
Joel Embiid,embiijo01,NBA,2023-24,Africa,Cameroon,Yaounde,68,,,,11.0
Tony Parker,parketo01,NBA,2003-04,Europe,Belgium,Bruges,18,,,,22.0
José Calderón,caldejo01,NBA,2008-09,Europe,Spain,Villanueva de la Serena,18,,,,22.0
Tom Meschery,meschto01,NBA,1963-64,Asia,China,Harbin Manchuria,18,,,,75.0
Enes Freedom,kanteen01,NBA,2020-21,Europe,Switzerland,Zurich,18,,,,37.0
Steve Kerr,kerrst01,NBA,1996-97,Asia,Lebanon,Beirut,18,,,,86.0
Dwight Powell,poweldw01,NBA,2018-19,North America,Canada,Toronto,18,,,,0.0
Andrew Bogut,bogutan01,NBA,2009-10,Oceania,Australia,Melbourne,18,,,,15.0
Kyrie Irving,irvinky01,NBA,2022-23,Oceania,Australia,Melbourne,67,,,,15.0
